Date,Open,High,Low,Close,Volume,UpAndDown
109/02/11,11.6,11.7,11.6,11.65,"1,557",0.15
109/02/12,11.75,11.9,11.7,11.8,"2,299",0.15
109/02/13,11.9,11.95,11.8,11.9,"2,224",0.1
109/02/14,11.85,11.85,11.65,11.75,"1,528",-0.15
109/02/17,11.6,11.65,11.5,11.55,"2,775",-0.2
109/02/18,11.5,11.85,11.5,11.8,"2,428",0.25
109/02/19,11.85,12.05,11.8,11.95,"2,963",0.15
109/02/20,12.05,12.1,11.75,11.85,"1,912",-0.1
109/02/21,11.8,11.9,11.7,11.75,"1,472",-0.1
109/02/24,11.7,11.75,11.55,11.55,"2,350",-0.2
109/02/25,11.5,11.8,11.45,11.7,"1,986",0.15
109/02/26,11.55,11.7,11.55,11.6,"1,527",-0.1
109/02/27,11.6,11.7,11.5,11.55,"3,239",-0.05
109/03/02,11.4,11.55,11.35,11.4,"2,782",-0.15
